,X,GID,Date,Year,Month,Day,Source,SrcActor,SrcAgent,SOthAgent,Target,TgtActor,TgtAgent,TOthAgent,CAMEO,RootCode,QuadClass,Goldstein,None,Lat,Lon,Geoname,AdminInfo,CountryCode,ID,URL,sourcetxt
785411,785411,1099119_v0.2.0,20150605,2015,6,5,RUSGOVMIL,RUS,GOV,MIL,RUS,RUS,,,50,5,1,3.5,,13.08784,80.27847,Chennai,State of Tamil Nādu,IND,5570f0c4421aa92b22362d75_0,http://www.thehindu.com/news/cities/chennai/russian-education-fair-in-chennai/article7284222.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,hindu_cities
856157,856157,1169886_v0.2.0,20150626,2015,6,26,DEU,DEU,,,GRC,GRC,,,10,1,0,0,"BANKRUPTCY,1",37.97945,23.71622,Athens,,GRC,558d3963421aa912f5ca91ea_0,http://www.thestar.com.my/News/World/2015/06/26/Euro-zone-can-help-Greece-repay-debt-in-five-month-bailout-extension--document,malstar_world
1494850,1494850,1880000_v0.2.0,20160121,2016,1,21,IGOUNO,IGO,,UNO,ISR,ISR,,,130,13,3,-4.4,,48.85341,2.3488,Paris,Île-de-France,FRA,56a05783421aa91c7c44d119_2,http://article.wn.com/view/2016/01/21/State_of_emergency_likely_to_be_extended_in_France/,wn_world
1652723,1652723,2068257_v1.2.0,20160315,2016,3,15,USA,USA,,,RUS,RUS,,,30,3,1,4,,NA,NA,,,,56e7d060421aa93855bd983a_3;56e7c93f421aa93850c39a4d_3,http://rss.nytimes.com/c/34625/f/642565/s/4e44dfa1/sc/7/l/0L0Snytimes0N0C20A160C0A30C150Copinion0Cputins0Esyria0Esurprise0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm;http://rss.nytimes.com/c/34625/f/640355/s/4e44d0b9/sc/7/l/0L0Snytimes0N0C20A160C0A30C150Copinion0Cputins0Esyria0Esurprise0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,nyt;nytmiddleeast
1476225,1476225,1861368_v0.2.0,20160114,2016,1,14,AFGCVL,AFG,CVL,,IRQCVL,IRQ,CVL,,43,4,1,2.8,,NA,NA,,,,5697f6ae421aa918a6ad37fd_2,http://www.thelocal.no/20160114/norway-to-stop-returning-migrants-to-arctic-russia-by-bike,local_norway
1570591,1570591,1986098_v1.2.0,20160217,2016,2,17,USA,USA,,,SYRGOV,SYR,GOV,,190,19,4,-10,,NA,NA,,,,56c45374421aa948645428a6_5,http://www.sfgate.com/news/us/article/10-Things-to-Know-for-Today-6835946.php,sfgate_national
253703,253703,561253,20141007,2014,10,7,ITAGOV,ITA,GOV,,RUS,RUS,,,10,1,0,0,"EUROPEAN_UNION,1",NA,NA,,,,5433bab3bfd109537ea3572d_0,http://www.thelocal.it/20141007/eu-must-review-relations-with-russia-over-next-five-years,local_italy
857408,857408,1171138_v0.2.0,20150627,2015,6,27,IND,IND,,,INDGOV,IND,GOV,,10,1,0,0,,22,79,Republic of India,,IND,558ef550421aa947a6cd7b04_0,http://www.hindustantimes.com/india-news/voters-hail-jaya-brave-rain-in-north-east-amp-kerala/article1-1363597.aspx,hindustan_india
1518732,1518732,1923764_v1.2.0,20160131,2016,1,31,AUSEDU,AUS,EDU,,AUS,AUS,,,42,4,1,1.9,"SCHOOLS,1",-27.46794,153.02809,Brisbane,,AUS,56ae98df421aa94d202cbe90_3,http://article.wn.com/view/2016/01/31/New_residence_for_Australian_Ballet_School_students_Australi/,wn_politics
355177,355177,646699,20141217,2014,12,17,IMGMOSISI,IMG,,MOS;ISI,IRQ,IRQ,,,90,9,3,-2,"TERROR,1",NA,NA,,,,5490f452bfd10908e7d656a1_4,http://article.wn.com/view/2014/12/17/TSA_chief_Travelers_from_some_nations_targeted_3/,wn_world
343341,343341,634857,20141211,2014,12,11,PSEGOV,PSE,GOV,,ISR,ISR,,,10,1,0,0,,NA,NA,,,,548971f4bfd1091fa555c840_5,http://article.wn.com/view/2014/12/11/PM_Turkish_MPs_discuss_ties_regional_turmoil_Prime_Minister_/,wn_politics
56839,56839,371888,20140713,2014,7,13,RUSGOV,RUS,GOV,,ARG,ARG,,,42,4,1,1.9,,NA,NA,,,,53c194c8bfd1096feea13a17_0,http://www.bangkokpost.com/news/worldcup/420282/putin-eyes-argentine-energy-in-third-stop-of-latam-tour,thailand_bankokpost
240443,240443,550239,20140925,2014,9,25,PAK,PAK,,,GBRMOS,GBR,,MOS,16,1,0,3.4,,NA,NA,,,,54237e1cbfd1094d8a0aa256_4,http://feedproxy.google.com/~r/dawn-news/~3/KKiwCuJxgnU/families-of-model-town-victims-facing-police-pressure-qadri,dawn_pk
