"","code","src_actor","month","tgt_actor","country_code","year","date8_val","id","source","date8","src_agent","latitude","src_other_agent","geoname","quad_class","source_text","root_code","tgt_other_agent","day","target","goldstein","tgt_agent","longitude","url"
"593","021","CAN","03","","CAN","2017",2017-03-26 20:00:00,"5a83407cff261b48ad0746cb_1","CANCVL","20170327","CVL","52.28333",""," Alberta",0,"canada_globalnews","02","","27","---GOV",3.4,"GOV","-117.469","http://globalnews.ca/news/3338386/alberta-hunters-raise-concerns-over-park-plan-for-castle-region/"
"594","030","","03","","","2017",2017-03-26 20:00:00,"5a83407eff261b48ad0746d8_3","---CVL","20170327","CVL","",""," ",1,"wn_politics","03","HLH;CVL","27","---HLHCVL",4,"","","https://article.wn.com/view/2017/03/28/Single_parents_owed_4_BILLION_in_child_maintenance_due_to_of/"
"595","015","BGD","03","","","2017",2017-03-26 20:00:00,"5a83407bff261b48ad0746bc_2","BGDMIL","20170327","MIL","",""," ",0,"wn_asia","01","UAF","27","---UAF",0,"","","https://article.wn.com/view/2017/03/27/Bangladeshi_Forces_Reportedly_End_Siege_with_Militants_Backe/"
"596","015","IND","03","","BGD","2017",2017-03-26 20:00:00,"5a83407bff261b48ad0746bc_3","INDMIL","20170327","MIL","24.89904","","Sylhet Sylhet Division",0,"wn_asia","01","UAF","27","---UAF",0,"","91.87198","https://article.wn.com/view/2017/03/27/Bangladeshi_Forces_Reportedly_End_Siege_with_Militants_Backe/"
"597","190","","03","BGD","BGD","2017",2017-03-26 20:00:00,"5a83407bff261b48ad0746bc_5","MED","20170327","","24","","Bangladesh ",4,"wn_asia","19","MUS;UAF","27","BGDMUSUAF",-10,"","90","https://article.wn.com/view/2017/03/27/Bangladeshi_Forces_Reportedly_End_Siege_with_Militants_Backe/"
"598","190","","03","BGD","IND","2017",2017-03-26 20:00:00,"5a83407bff261b48ad0746bc_6","---UAF","20170327","","28.63576","UAF","New Delhi National Capital Territory of Delhi",4,"wn_asia","19","","27","BGD",-10,"","77.22445","https://article.wn.com/view/2017/03/27/Bangladeshi_Forces_Reportedly_End_Siege_with_Militants_Backe/"
"599","138","","03","","USA","2017",2017-03-26 20:00:00,"5a83407fff261b48ad0746e6_1","---GOV","20170327","GOV","34.05223","","Los Angeles California",3,"wn_politics","13","","27","---GOV",-7,"GOV","-118.24368","https://article.wn.com/view/2017/03/28/LA_mayor_vows_to_fight_as_Trump_administration_seeks_to_weed/"
"600","115","KOR","03","USA","KOR","2017",2017-03-26 20:00:00,"5a834080ff261b48ad0746eb_1","KOR","20170327","","37.566","","Seoul Seoul",3,"skorea_yonhap_sk","11","","27","USA",-2,"","126.9784","http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AEN20170328001400320&source=rss"
"601","010","","03","NGA","NGA","2017",2017-03-26 20:00:00,"5a834080ff261b48ad0746ed_3","---BUS","20170327","BUS","10","","Federal Republic of Nigeria ",0,"nigeria_vangard","01","","27","NGA",0,"","8","http://www.vanguardngr.com/2017/03/century-power-adds-1500mw-boost-power-supply/"
"602","060","GBR","03","CAN","CAN","2017",2017-03-26 20:00:00,"5a834080ff261b48ad0746ec_6","GBRCVLREL","20170327","CVL","60.10867","REL","Canada ",2,"wn_world","06","","27","CAN",6,"","-113.64258","https://article.wn.com/view/2017/03/28/Thieves_steal_from_Berlin_museum_221pound_Canadian_gold_coin/"
"603","074","","03","","","2017",2017-03-26 20:00:00,"5a834082ff261b48ad074701_1","---COP","20170327","COP","",""," ",2,"wn_world","07","PPL","27","---PPL",8.5,"","","https://article.wn.com/view/2017/03/28/Police_No_active_search_for_suspects_in_nightclub_shooting_h/"
